district_code,district_name,constituency_code,constituency_name,subcounty_code,subcounty_name,parish_code,parish_name,polling_station_code,polling_station_name,voters
98,BUKOMANSIMBI,111,BUKOMANSIMBI NORTH COUNTY,5,BUKOMANSIMBI TOWN COUNCIL,8,KISAGAZI WARD,2,KIRYASAKA HOPE PRI SCHOOL,390
119,KYOTERA,194,KYOTERA COUNTY,7,NABIGASA,35,KYASSIMBI,3,BULYANA MOSQUE (N-Z),696
45,SSEMBABULE,119,LWEMIYAGA COUNTY,2,BULONGO,5,BULONGO,8,KYATTUBA B,318
91,GOMBA,254,GOMBA WEST COUNTY,5,MADDU TOWN COUNCIL,26,MADDU WARD A,1,MADDU TOWN COUNCIL HQTRS  (A- M),632
32,MUKONO,176,MUKONO COUNTY NORTH,4,NAMA,20,NAMAWOJJOLO,9,BWEFULUMYA WEST-AT FOREST HILL,359
45,SSEMBABULE,273,MAWOGOLA NORTH COUNTY,1,LUGUSULU,14,MBUYA,2,MBUYA MOSLEM,478
45,SSEMBABULE,273,MAWOGOLA NORTH COUNTY,6,MITIMA,10,LWENTALE,2,KAGANGO N-Z,513
45,SSEMBABULE,273,MAWOGOLA NORTH COUNTY,2,KAWANDA,8,LUTUNKU,1,KABULASOKE,123
8,JINJA,42,KAGOMA COUNTY,6,NAMAGERA TOWN COUNCIL,25,LUBANYI WARD,2,LUBANYI PRIMARY SCHOOL FRONT YARD,754
8,JINJA,42,KAGOMA COUNTY,6,NAMAGERA TOWN COUNCIL,25,LUBANYI WARD,4,LUBANYI TECHNICAL,359
